comment,label
Those farmers are anti nationals now.,0
RAVISH YOU ARE AMAZING.GET YOUR POINT LOUD AND CLEAR.,1
"So both farmers and govt are right and wrong in their own place, there are disadvantages as well as advantages to this bill. Discussions should be done to remove the disadvantages once and for all rather than making it political issue. Jai Jawan Jai Kisan Jai Hind",1
"Farmers koo essential commodities ki supply close kr deni chahiye urban areas koo tb pta chlye ga ki farmers terrorist hai ja khalistani. Farmers is only farmers, they all are human beings not terrorists or khalistani.STOP blaming them.............",1
Modi:Where is India's dad?,0
Farmers bills are uselessssssssssss,1
I support farmers they have every right to protest and democracy is joke in india...the national media is sponsored by government ambani adnani are private players whom govt favours and MODI IS THE CLOWN WHO IS RESPONSIBLE FOR THIS ...mess,1
#No_farmers_No_food..pls stand with farmers,1
Modi BJP will sale all root and institution on one men BJP sponsorship.,1
"Why modi or amitshah didn't visit the farmer protest site all these 9 months ? And promise the farmers of MSP.agriculture is a state subject,but bill was passed with out consulting states and by cancelling question hour in parliament when the bill was passed.completely unconstitutional.",1
"Why are the farmers supporting  middlemen? Both the families of Amrinder Sing, CM ,and Badal, are loosers in the new system.  So why landless and small farmers  protesting? A few years back, the middlemen supported by Forward Block party in WB, stalled the establishment of Metro  Cash and Carry in Kolkata,  fearing that small farmers would be held economic hostage by the company. But after 10 to 12 years, you can see nothing of that sort happened  and the farmers are happy with the deals. Those middlemen  sought other forms of employment.",0
khalistan is their ultimate solution.......they are waste their time in these demonstrations,0
take modi to these protests ,1
SUPPORT TO THE FARMERS !!,1
Punjab and Haryana want all their rice and wheat to be bought by FCI leaving all other farmers from rest of India in the mercy of local traders.,0
The other farmers who support these laws should try to support these laws by counter protests.,1
Farmers still do sell their crop outside mandis.,1
And now farmers will enjoy lavishing life & economy of farmers will rise 10 times which were never happened before. Khusia manao. . Congress bale hi farmers ke bare me sochte the. Unke jamane ka hi farmers ka condition thik tha.,0
We support this Bill if one state not get advantage from it doesn't means to let other poor farmers also suffer ,0
Punjab farmer lobby is different!!,0
"Farmers' protest started with great intent, and to be honest they have got a lot improved through discussions with the government. The MSP is guaranteed along with other demands that were put in as a check to not let corporate overlords take advantage of vulnerable farmers. ",1
"Rakesh Ticket Ji,",1
Ravish ji.. there is something called foreign policy. Taliban's are declared as terrorists group very long back. There is something called time and context for enmity. ,0
Support Farmers ,1
(FARMERS ARE NOT TERRORIST),1
Ravish   : Tell me more bout Hindu's Islamophobia,0
I support kishan... Lekin jo so called kishan ne kia usko support nehi karta. It is unfortunate to see 26 jan event by the aggressive jali kishan the are not actual bharat ki kishan.,1
We support farmer protect ,1
"As Modi and Shah are not the persons who will easily give up and rescinding these laws will halt their plans to bring in more reforms and more laws that are going to affect people on religious grounds, therefore, for them, it will be either my way or no way.",0
Now Modi should repel his articles against the Kashmirs and let the Kashmirs decide their fate.,1
Haryana me sir todne ki baat kar rahe hai SDM. U.P k SDM hote to g*nd tod kr property bhi bikwa dete with poster.,0
Modi should quit. He always takes foolish actions.,1
Farmers are the backbone of India. Don't try to break them.,1
Farmers were protesting peacefully from last 5 months... Today deliberately govt planned this to diminish the protests...,1
Rakesh taikat in very bad and mad  sp in very Chor price .,0
Modi Shah brought these devil laws,1
"Modi shouldn,t have been gone so low.",1
Farmers: we are coming to Delhi,1
Rakesh Tikayet ne indian small farmers ko andhakar me dhakel diya.  History will never forgive him & his agents.,0
"Modi has shown weakness in the blockage incidents, in the insult f national flag and in the U turn. With the Hindus being a bit more aware, religion has become a factor in Indian polity. But with them having no other Hindu party BJP milks their emotion but doesn't care about them as they will have to vote the BJP. Thus Bengal boils, sadhus are killed. ",1
Ravish sir Salute,1
Farmers have become Deshdrohis and RSS have become Deshbhakts....issse bada Joke to Maine nahi suna..,1
Haryana punjab unity..... mann sanu haryane wale bro te to sade nal khade... nd all farmers of india .. superb... we are farmers.. hame pta hai haq kaise lete hai,1
Farmers of India are dying but modi govt is not listening to them from last 4-5 months,1
"In support of farmers and for our own food, nothing wrong or loss to bear the legitimate inconveniences caused to us.",1
"Punjab is our pride, our India`s pride, but you have taken the worst step that could have been taken.",1
I support this bill is helpful for farmer,1
Farmers Degrading Indian flag??? Nah these are traitors,0
Modi Ambani se to puch le esa n ho party fand bnd kra de wo ,1
farmers we are with you,1
I m with farmers,1
Modi is weak.  I want to against Punjab farmers is mad.,1
Punjab farmers are rich and bigger so they don't need to worry but imagine of small farmers who are going to die of hunger again,0
Modi. Slowly he is moving to Achieve,1
"We support farmers, if anything happens.. We all people come and support the farmers in their place. Modi ji u can't simply sells Everything",1
why Ravish kumar not done Prime time till now on this murder ?,1
Farmers should become more competitive,0
"So Punjab and Haryana Farmers keep producing these resource intensive crops like paddy, sugarcane.. Sell all to government. Government exchequer bears all brunt.. Ultimately the common tax payers. With private sector money flow, technical expertise and demand they can start growing high yield crops, benefit themselves and the companies. So basically Haryana and Punjab farmers want things to stay as it is as they fill up the FCI quota. Hmmpf!",0
Farmers are right!!!!!,1
To support Muslims,1
I support the farmers!!!!!! May their protest be successful.,1
Farmers have already filed case in Supreme Court challenging legality of these laws.  A good multi pronged action.  They should also ask their BJP MPs and MLAs whether they stand with farmers or against.  They should boycott all of those who are favouring the farm laws and denigrating the farmers movement.  They should protest in front of BJP offices in each of the districts asking the party to take a stand against the bills,1
Rakesh ji Tikaat is not only a farmer he is a Baabar Sher on farmers,1
We are farmers not a terrirst,1
My support for famer,1
The Modi Government is behaving like dictator. BJP should be dumped soon.,0
Farmers are real heroes,1
Modi ji will never repeal CAA &NRC  law because Muslim is not core voter of bjp,1
Tikait brothers called for muslim genocide during 2013 mujaffarnagar  riots ,0
Rakesh sir is right,1
The farmers with tractors are rich farmers & getting full  benefit of MSP earning  non taxable income,0
Modi ji you have made a wrong decision  no Voat for you,1
Tikait always right,1
"For us farmers ,i would say dont create chaos in city let govt function.when govt remove msp then we will do protest.",1
Farmers after these bills would never be dependent on Govt and may not force them for begging from Govt ,0
Most in Punjab and bit in Hariyana rich middle class,0
Support indian farmers,1
No support to these broker middleman mandi walas,0
In Modi-Yogi we trust.,0
MODI YOGI TADIPAR     ,0
Rakesh tikait g real hero of farmers,1
Ravish Kumar is honest .anchor journalist real news broadcast by you God bless you  salute salute salute,1
farmers always thinks corporate are looters. This perception should change,0
Modi on his own now his boyfriend Trump is gone. Biden won't be as friendly,1
Tikait ji yeah tho bol do yaar Vote for BJP only...,0
Most of the farmers in all other states did not have a problem. ,0
Farmers: *Protest,0
Modi government should accept the demands of the farmers give them there wrights every one is United against injustice..modi has no wife or kids he doesn't understand the problems of farmers and there family's,1
Modi is smarter than we think.,0
The farmers were asking for their rights. Why were they hit so badly ? ,1
Modi is effected by 2002 syndrome. Though he was not atall involve tons of muks was thrown to him. Now he is himself starts feeling gulti of the crime which was not done by him. So he is not taking any strict actions. He may be want to spend the remaining life peacefully.,0
I support this...!!,1
